category,disaster_code,year,quarter,n_documents,page_count,file_size_bytes,n_activity_pages,n_activities,money_sum_amount_usd_budget,money_sum_amount_usd_drawdown,money_sum_amount_usd_expended,money_sum_amount_usd_obligated,money_sum_amount_usd_unknown,entity_CARDINAL,entity_DAMAGE_METRIC,entity_DATE,entity_DISASTER,entity_EVENT,entity_FAC,entity_FEMA_DECLARATION,entity_GPE,entity_LANGUAGE,entity_LAW,entity_LOC,entity_MONEY,entity_NORP,entity_ORDINAL,entity_ORG,entity_PERCENT,entity_PERSON,entity_PRODUCT,entity_PROGRAM,entity_QUANTITY,entity_QUARTER,entity_RAINFALL,entity_TIME,entity_TX_COUNTY,entity_WIND_SPEED,entity_WORK_OF_ART,act_n_unique_activities,act_n_activity_documents,act_n_counties,act_n_cities,act_mean_benef_lmi_percent,act_sum_budget_usd,act_sum_obligated_usd,act_sum_drawdown_usd,act_sum_expended_usd,act_sum_benef_persons_this_period,act_sum_benef_persons_total_actual,act_sum_benef_persons_total_expected,act_sum_benef_households_this_period,act_sum_benef_households_total_actual,act_sum_benef_households_total_expected,act_sum_benef_owner_households_this_period,act_sum_benef_owner_households_total_actual,act_sum_benef_owner_households_total_expected,act_sum_benef_renter_households_this_period,act_sum_benef_renter_households_total_actual,act_sum_benef_renter_households_total_expected,act_sum_benef_jobs_created_this_period,act_sum_benef_jobs_created_total_actual,act_sum_benef_jobs_created_total_expected,act_sum_benef_jobs_retained_this_period,act_sum_benef_jobs_retained_total_actual,act_sum_benef_jobs_retained_total_expected,act_sum_benef_housing_units_this_period,act_sum_benef_housing_units_total_actual,act_sum_benef_housing_units_total_expected,act_n_status_cancelled,act_n_status_completed,act_n_status_under_way,act_n_status_unknown,act_n_type_acquisition_buyout,act_n_type_administration,act_n_type_housing,act_n_type_infrastructure,act_n_type_other,act_n_type_planning,act_n_type_unknown,act_completion_rate,severity_rainfall_inches_max_value,severity_wind_speed_mph_max_value,severity_rainfall_inches_n_mentions,severity_wind_speed_mph_n_mentions
Harvey_57M_ActionPlan,hh57m,2020,4,1,1298,2226507,1276,635,0.0,0.0,0.0,0.0,6755068086.030268,6299.0,28.0,1357.0,264.0,20.0,669.0,0.0,517.0,1.0,41.0,147.0,4690.0,32.0,64.0,11751.0,532.0,1960.0,165.0,433.0,267.0,0.0,10.0,2.0,365.0,1.0,139.0,612.0,1.0,35.0,143.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,93.0,2.0,517.0,0.0,100.0,28.0,137.0,241.0,92.0,14.0,0.0,0.0032679738562091504,2000.0,150.0,10.0,1.0
Harvey_57M_ActionPlan,hh57m,2021,1,1,60,115882,57,30,241486088.0,43465600.0,0.0,0.0,100.0,67.0,4.0,42.0,27.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,107.0,1.0,14.0,479.0,65.0,79.0,17.0,0.0,11.0,0.0,3.0,0.0,49.0,1.0,10.0,30.0,1.0,2.0,3.0,,56930688.0,0.0,43465600.0,0.0,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,23.0,0.0,5.0,4.0,13.0,0.0,8.0,0.0,0.0,0.0,,150.0,3.0,1.0
Harvey_57M_ActionPlan,hh57m,2022,3,1,34,144631,32,16,219374456.0,0.0,0.0,0.0,11155600.0,66.0,4.0,626.0,12.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,60.0,1.0,2.0,277.0,5.0,55.0,25.0,0.0,9.0,0.0,3.0,0.0,55.0,1.0,0.0,16.0,1.0,1.0,2.0,,24859728.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0,0.0,3.0,1.0,8.0,0.0,3.0,1.0,0.0,0.0,,150.0,3.0,1.0
Harvey_57M_ActionPlan,hh57m,2022,4,1,36,150706,34,17,193329318.04,0.0,0.0,0.0,11155600.0,66.0,4.0,627.0,14.0,0.0,0.0,1.0,11.0,0.0,1.0,1.0,65.0,1.0,2.0,296.0,5.0,50.0,27.0,7.0,11.0,0.0,3.0,0.0,81.0,1.0,0.0,17.0,1.0,1.0,3.0,,12078372.84,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17.0,0.0,3.0,1.0,9.0,0.0,3.0,1.0,0.0,0.0,,150.0,3.0,1.0
Harvey_57M_ActionPlan,hh57m,2023,1,1,38,156612,36,18,193811745.68,0.0,0.0,0.0,10966600.0,80.0,4.0,700.0,15.0,0.0,3.0,1.0,14.0,0.0,1.0,3.0,69.0,1.0,2.0,348.0,5.0,57.0,29.0,7.0,10.0,0.0,3.0,0.0,86.0,1.0,0.0,18.0,1.0,1.0,3.0,,12078372.84,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17.0,1.0,3.0,1.0,9.0,0.0,3.0,1.0,1.0,0.0,,150.0,3.0,1.0
Harvey_57M_ActionPlan,hh57m,2023,2,1,34,146597,32,16,83061200.0,57800000.0,0.0,0.0,10966400.0,72.0,1.0,608.0,15.0,0.0,4.0,1.0,14.0,0.0,1.0,3.0,59.0,2.0,2.0,311.0,5.0,60.0,25.0,7.0,8.0,0.0,3.0,0.0,76.0,1.0,0.0,16.0,1.0,1.0,3.0,,16490600.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0,0.0,5.0,1.0,6.0,0.0,3.0,1.0,0.0,0.0,,150.0,3.0,1.0
Harvey_57M_ActionPlan,hh57m,2023,3,1,34,146925,32,16,83061200.0,57800000.0,0.0,0.0,10966400.0,73.0,1.0,607.0,15.0,0.0,4.0,1.0,15.0,0.0,1.0,3.0,60.0,2.0,2.0,311.0,5.0,60.0,26.0,7.0,8.0,0.0,3.0,0.0,76.0,1.0,0.0,16.0,1.0,1.0,3.0,,16490600.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0,0.0,5.0,1.0,6.0,0.0,3.0,1.0,0.0,0.0,,150.0,3.0,1.0
Harvey_57M_ActionPlan,hh57m,2023,4,1,34,147025,32,16,63417922.83,57800000.0,0.0,0.0,0.0,72.0,1.0,607.0,15.0,0.0,4.0,1.0,15.0,0.0,1.0,3.0,57.0,2.0,2.0,314.0,5.0,59.0,27.0,7.0,8.0,0.0,3.0,0.0,76.0,1.0,0.0,16.0,1.0,1.0,3.0,,5180797.93,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0,0.0,5.0,1.0,6.0,0.0,3.0,1.0,0.0,0.0,,150.0,3.0,1.0
Harvey_57M_ActionPlan,hh57m,2024,1,1,34,134228,32,16,71579733.15,57800000.0,0.0,0.0,0.0,81.0,1.0,607.0,17.0,0.0,4.0,1.0,15.0,0.0,1.0,3.0,60.0,2.0,2.0,322.0,5.0,60.0,28.0,7.0,8.0,0.0,3.0,0.0,76.0,1.0,0.0,16.0,1.0,1.0,3.0,,13520830.35,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0,0.0,5.0,1.0,6.0,0.0,3.0,1.0,0.0,0.0,,150.0,3.0,1.0
Harvey_57M_ActionPlan,hh57m,2024,2,1,35,149062,33,16,71590980.59,57800000.0,0.0,0.0,0.0,86.0,1.0,561.0,17.0,0.0,4.0,1.0,18.0,0.0,1.0,3.0,61.0,2.0,2.0,327.0,5.0,59.0,29.0,7.0,8.0,0.0,3.0,0.0,76.0,1.0,0.0,16.0,1.0,1.0,3.0,,13514127.79,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0,0.0,5.0,1.0,6.0,0.0,3.0,1.0,0.0,0.0,,150.0,3.0,1.0
