document_id,filename,category,disaster_code,year,quarter,page_count,file_size_bytes,processed_at,quarter_label,money_max_amount_usd_budget,money_max_amount_usd_drawdown,money_max_amount_usd_expended,money_max_amount_usd_obligated,money_max_amount_usd_unknown,money_n_mentions_budget,money_n_mentions_drawdown,money_n_mentions_expended,money_n_mentions_obligated,money_n_mentions_unknown,money_sum_amount_usd_budget,money_sum_amount_usd_drawdown,money_sum_amount_usd_expended,money_sum_amount_usd_obligated,money_sum_amount_usd_unknown,entity_CARDINAL,entity_DAMAGE_METRIC,entity_DATE,entity_DISASTER,entity_EVENT,entity_FAC,entity_FEMA_DECLARATION,entity_GPE,entity_LANGUAGE,entity_LAW,entity_LOC,entity_MONEY,entity_NORP,entity_ORDINAL,entity_ORG,entity_PERCENT,entity_PERSON,entity_PRODUCT,entity_PROGRAM,entity_QUANTITY,entity_QUARTER,entity_RAINFALL,entity_TIME,entity_TX_COUNTY,entity_WIND_SPEED,entity_WORK_OF_ART,n_activities,n_activity_pages,n_unique_activities
316,rita1-2013-q2.pdf,Hurricane_Rita1,rita1,2013,2,17,54888,2026-01-29 19:40:45.417573,Q2 2013,74523000.0,22129290.42,22129290.42,74523000.0,39133452.78,24.0,37.0,25.0,25.0,34.0,180237507.12,76882034.85000001,29720813.330000002,74523000.0,162679948.5,69.0,1.0,52.0,18.0,0.0,2.0,1.0,32.0,0.0,6.0,3.0,149.0,2.0,2.0,132.0,6.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,6.0,0.0,6.0,7,14,7
338,rita2-2013-q2.pdf,Hurricane_Rita2,rita2,2013,2,25,75513,2026-01-29 19:40:46.829457,Q2 2013,428671849.0,428671849.0,190720147.58,428671849.0,5200000000.0,46.0,52.0,31.0,31.0,91.0,1075949555.71,1043811979.72,216005502.61,428671849.0,8265010967.2,101.0,3.0,47.0,47.0,8.0,4.0,1.0,43.0,0.0,17.0,6.0,276.0,2.0,8.0,263.0,24.0,21.0,5.0,25.0,2.0,0.0,5.0,0.0,13.0,0.0,3.0,10,21,10
260,ike-2013-q3.pdf,Hurricane_Ike,ike,2013,3,2568,4568269,2026-01-29 19:39:25.516495,Q3 2013,3113475856.0,3113472856.0,120991459.0,1110205983.18,48748190000000.0,2810.0,7808.0,3798.0,3689.0,3245.0,6450317040.69,16514827920.09,1666064416.44,1151037749.6200001,78523744425851.31,8832.0,49.0,7394.0,1140.0,202.0,5947.0,2.0,5189.0,0.0,131.0,891.0,21414.0,116.0,210.0,15520.0,489.0,2315.0,163.0,4.0,2010.0,0.0,731.0,26.0,1920.0,1.0,300.0,1270,2564,1194
317,rita1-2013-q3.pdf,Hurricane_Rita1,rita1,2013,3,9,39009,2026-01-29 19:40:45.456320,Q3 2013,74523000.0,74523000.0,1131632.79,0.0,39133452.78,7.0,27.0,14.0,7.0,24.0,149055388.23,223578388.23,1151021.03,0.0,139247811.5,11.0,1.0,12.0,9.0,0.0,0.0,1.0,7.0,0.0,1.0,8.0,82.0,1.0,0.0,69.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3,6,3
339,rita2-2013-q3.pdf,Hurricane_Rita2,rita2,2013,3,12,45765,2026-01-29 19:40:46.875686,Q3 2013,428671849.0,428671849.0,3856076.0,0.0,2020000000.0,8.0,32.0,15.0,9.0,34.0,434240663.42,874442877.84,5556707.18,0.0,2318886863.17,25.0,3.0,20.0,22.0,7.0,1.0,1.0,24.0,0.0,1.0,8.0,106.0,1.0,1.0,104.0,11.0,3.0,3.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,4,8,4
395,wf1-2013-q3.pdf,Wildfire_I,wf1,2013,3,14,48331,2026-01-29 19:45:34.218107,Q3 2013,31319686.0,31319686.0,1250662.32,8513.54,6263937200000.0,9.0,35.0,19.0,15.0,20.0,64281958.0,90876138.91,2241652.02,12095.54,6263989231100.92,27.0,4.0,19.0,1.0,0.0,1.0,5.0,9.0,0.0,0.0,0.0,99.0,0.0,1.0,111.0,17.0,17.0,3.0,1.0,6.0,0.0,3.0,0.0,16.0,0.0,2.0,5,10,5
261,ike-2013-q4.pdf,Hurricane_Ike,ike,2013,4,2556,4523603,2026-01-29 19:39:28.984795,Q4 2013,3113475856.0,3113472856.0,120991459.0,1191172100.28,35083870000000.004,2756.0,7885.0,3801.0,3909.0,3136.0,6699499755.51,8834094480.97,1512363132.21,1238435341.3,35089484241161.062,7470.0,62.0,7292.0,1112.0,168.0,5776.0,2.0,5103.0,0.0,130.0,869.0,21523.0,113.0,184.0,14592.0,544.0,2188.0,163.0,4.0,2024.0,0.0,736.0,26.0,1842.0,1.0,279.0,1271,2552,1195
318,rita1-2013-q4.pdf,Hurricane_Rita1,rita1,2013,4,4,30329,2026-01-29 19:40:45.488312,Q4 2013,74523000.0,74523000.0,0.0,,39133452.78,3.0,7.0,3.0,,19.0,147894978.95999998,222417978.95999998,0.0,,177341876.04,3.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0,33.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
340,rita2-2013-q4.pdf,Hurricane_Rita2,rita2,2013,4,14,49447,2026-01-29 19:40:46.923771,Q4 2013,428671849.0,428671849.0,3856076.0,0.0,2020000000.0,14.0,38.0,17.0,15.0,34.0,443756231.17,870818179.07,3856076.0,0.0,2265451861.14,27.0,3.0,24.0,21.0,7.0,1.0,1.0,25.0,0.0,1.0,11.0,142.0,1.0,1.0,112.0,11.0,3.0,4.0,8.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,5,10,5
262,ike-2014-q1.pdf,Hurricane_Ike,ike,2014,1,2742,5103131,2026-01-29 19:39:32.746802,Q1 2014,3113475856.0,3113472856.0,249348036.77,1278087429.49,2312392899.57,2933.0,8631.0,4086.0,3902.0,2854.0,6422327526.94,15385523636.279999,1840252067.43,1314856555.53,5938258336.440001,8056.0,34.0,6022.0,1206.0,177.0,6014.0,2.0,5236.0,2.0,92.0,919.0,22622.0,117.0,189.0,15812.0,531.0,2223.0,153.0,7.0,2134.0,0.0,786.0,26.0,1882.0,1.0,192.0,1362,2738,1287
