category,disaster_code,year,quarter,n_documents,programs_total,programs_completed,programs_in_progress,programs_cancelled,program_completion_rate,program_duration_quarters_mean,program_duration_quarters_n_obs,sum_budget_usd,sum_obligated_usd,sum_drawdown_usd,sum_expended_usd,admin_activity_count,admin_activity_budget_usd,admin_activity_obligated_usd,admin_activity_drawdown_usd,admin_activity_expended_usd,outcome_persons_total_actual,outcome_persons_total_expected,outcome_households_total_actual,outcome_households_total_expected,outcome_owner_households_total_actual,outcome_owner_households_total_expected,outcome_renter_households_total_actual,outcome_renter_households_total_expected,outcome_jobs_created_total_actual,outcome_jobs_created_total_expected,outcome_jobs_retained_total_actual,outcome_jobs_retained_total_expected,outcome_housing_units_total_actual,outcome_housing_units_total_expected,severity_rainfall_inches_max,severity_wind_speed_mph_max,sem_signal_count,sem_signal_confidence_mean,admin_staff_count_sum,admin_staff_count_n_obs,admin_staff_count_confidence_mean,admin_payroll_usd_sum,admin_payroll_usd_n_obs,admin_payroll_usd_confidence_mean,affected_population_persons_sum,affected_population_persons_n_obs,affected_population_persons_confidence_mean,affected_population_households_sum,affected_population_households_n_obs,affected_population_households_confidence_mean,severity_deaths_count_sum,severity_deaths_count_n_obs,severity_deaths_count_confidence_mean,severity_economic_loss_usd_sum,severity_economic_loss_usd_n_obs,severity_economic_loss_usd_confidence_mean,severity_property_damage_usd_sum,severity_property_damage_usd_n_obs,severity_property_damage_usd_confidence_mean,severity_unmet_need_usd_sum,severity_unmet_need_usd_n_obs,severity_unmet_need_usd_confidence_mean
2015_Floods,15f,2022,2,1,42.0,0.0,42.0,0.0,0.0,,0.0,40406874.9,1166.48,34717490.89,4603453150183.15,1.0,45227.85,0.0,0.0,35752.4,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2022,3,1,36.0,5.0,31.0,0.0,0.1388888888888889,,0.0,36135038.48,0.0,20300124.18,5044604619757.37,2.0,3027331.0,0.0,3027331.0,2945291.8000000003,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2022,4,1,15.0,0.0,15.0,0.0,0.0,,0.0,14796557.04,0.0,4357353.24,8650665.93,2.0,37050.25,0.0,19578.22,13101.97,,,,,,,,,,,,,,,1.0,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2023,1,1,9.0,0.0,9.0,0.0,0.0,,0.0,13638314.66,0.0,4835267.15,8453776.74,1.0,3100000.0,0.0,0.0,2940182.99,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2023,2,1,9.0,0.0,9.0,0.0,0.0,,0.0,13367389.07,0.0,476072.30999999994,2047845815691.59,2.0,3128300.0,0.0,53827.0,2940182.99,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2023,3,1,56.0,0.0,56.0,0.0,0.0,,0.0,42634351.230000004,1165186.54,36133277.94,5285808465717.9795,5.0,837205.5,0.0,606177.81,2982357.68,,,,,,,,,,,,,,,1.0,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2024,1,1,19.0,2.0,17.0,0.0,0.10526315789473684,,0.0,23605480.39,19952.5,12800088.98,6615954886427.99,1.0,809874.5,0.0,3701069.0,2933191.69,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2024,2,1,39.0,6.0,33.0,0.0,0.15384615384615385,,0.0,35608420.800000004,1858.83,25553449.72,11110627147409.041,1.0,837205.5,0.0,2933192.6,2933192.6,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2024,3,1,16.0,8.0,8.0,0.0,0.5,,0.0,12597330.52,41.08,10014474.12,4888549014043.04,,,,,,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2024,4,1,10.0,5.0,5.0,0.0,0.5,,0.0,7492251.0,5516.89,2401868.48,6884019589496.08,1.0,837205.5,0.0,588.88,2932603.72,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
