keyword,category,disaster_code,year,quarter,n_pages,n_documents
fte,2019_Disasters_Performance,2019-disasters,2022,3,1,1
fte,2019_Disasters_Performance,2019-disasters,2022,4,1,1
fte,2019_Disasters_Performance,2019-disasters,2023,2,1,1
fte,2019_Disasters_Performance,2019-disasters,2023,3,1,1
fte,2019_Disasters_Performance,2019-disasters,2023,4,1,1
fte,2019_Disasters_Performance,2019-disasters,2024,1,1,1
fte,2019_Disasters_Performance,2019-disasters,2024,2,1,1
fte,2019_Disasters_Performance,2019-disasters,2024,3,1,1
fte,2019_Disasters_Performance,2019-disasters,2024,4,1,1
fte,2019_Disasters_Performance,2019-disasters,2025,1,1,1
fte,2019_Disasters_Performance,2019-disasters,2025,2,1,1
fte,2019_Disasters_Performance,2019-disasters,2025,3,1,1
fte,2019_Disasters_Performance,2019-disastersgrantreport,2023,1,1,1
fte,Harvey_57M_ActionPlan,hh57m,2020,3,1,1
fte,Harvey_57M_ActionPlan,hh57m,2020,4,41,1
fte,Harvey_57M_ActionPlan,hh57m,2021,1,1,1
fte,Harvey_57M_ActionPlan,hh57m,2022,3,1,1
fte,Harvey_57M_ActionPlan,hh57m,2022,4,1,1
fte,Harvey_57M_ActionPlan,hh57m,2023,1,1,1
fte,Harvey_57M_ActionPlan,hh57m,2023,2,1,1
fte,Harvey_57M_ActionPlan,hh57m,2023,3,1,1
fte,Harvey_57M_ActionPlan,hh57m,2023,4,1,1
fte,Harvey_57M_ActionPlan,hh57m,2024,1,1,1
fte,Harvey_57M_ActionPlan,hh57m,2024,2,1,1
fte,Harvey_57M_ActionPlan,hh57m,2024,3,1,1
fte,Harvey_57M_ActionPlan,hh57m,2024,4,1,1
fte,Harvey_57M_ActionPlan,hh57m,2025,1,1,1
fte,Harvey_57M_ActionPlan,hh57m,2025,2,1,1
fte,Harvey_57M_ActionPlan,hh57m,2025,3,1,1
fte,Harvey_57M_ActionPlan,hh57m,2025,4,1,1
fte,Harvey_57M_ActionPlan,hh57m-ap,2019,4,1,1
fte,Harvey_57M_ActionPlan,hh57m-ap,2020,1,1,1
fte,Harvey_57M_ActionPlan,hh57m-ap,2020,2,1,1
fte,Harvey_57M_ActionPlan,hh57m-ap,2021,2,1,1
fte,Harvey_57M_ActionPlan,hh57m-ap,2021,3,1,1
fte,Harvey_57M_ActionPlan,hh57m-ap,2021,4,1,1
fte,Harvey_57M_ActionPlan,hh57m-ap,2022,1,1,1
fte,Harvey_57M_ActionPlan,hh57m-ap,2022,2,1,1
fte,Harvey_57M_Performance,hh57m,2018,3,1,1
fte,Harvey_57M_Performance,hh57m,2018,4,1,1
fte,Harvey_57M_Performance,hh57m,2019,2,1,1
fte,Harvey_57M_Performance,hh57m,2019,3,1,1
fte,Harvey_57M_Performance,hh57m,2019,4,1,1
fte,Harvey_57M_Performance,hh57m,2020,1,1,1
fte,Harvey_57M_Performance,hh57m,2020,2,1,1
fte,Harvey_57M_Performance,hh57m,2020,3,1,1
fte,Harvey_57M_Performance,hh57m,2020,4,1,1
