category,disaster_code,year,quarter,fema_number,n_mentions,n_documents
2015_Floods,15f,2025,2,4272,1,1
2015_Floods,15f,2025,3,4223,1,1
2015_Floods,15f,2025,3,4245,3,1
2015_Floods,15f,2025,3,4272,1,1
2016_Floods,f16,2018,4,4266,1,1
2016_Floods,f16,2018,4,4269,1,1
2016_Floods,f16,2018,4,4272,1,1
2016_Floods,f16,2019,1,4266,1,1
2016_Floods,f16,2019,1,4269,1,1
2016_Floods,f16,2019,1,4272,1,1
2016_Floods,f16,2019,2,4266,1,1
2016_Floods,f16,2019,2,4269,1,1
2016_Floods,f16,2019,2,4272,1,1
2016_Floods,f16,2019,3,4266,1,1
2016_Floods,f16,2019,3,4269,1,1
2016_Floods,f16,2019,3,4272,1,1
2016_Floods,16f,2019,4,4266,1,1
2016_Floods,16f,2019,4,4269,1,1
2016_Floods,16f,2019,4,4272,1,1
2016_Floods,16f,2020,1,4266,1,1
2016_Floods,16f,2020,1,4269,1,1
2016_Floods,16f,2020,1,4272,1,1
2016_Floods,f16,2020,2,4266,1,1
2016_Floods,f16,2020,2,4269,1,1
2016_Floods,f16,2020,2,4272,1,1
2016_Floods,16f,2020,3,4266,1,1
2016_Floods,16f,2020,3,4269,1,1
2016_Floods,16f,2020,3,4272,1,1
2016_Floods,16f,2020,4,4266,1,1
2016_Floods,16f,2020,4,4269,1,1
2016_Floods,16f,2020,4,4272,1,1
2016_Floods,16f,2021,1,4266,1,1
2016_Floods,16f,2021,1,4269,1,1
2016_Floods,16f,2021,1,4272,1,1
2016_Floods,16f,2021,2,4266,1,1
2016_Floods,16f,2021,2,4269,1,1
2016_Floods,16f,2021,2,4272,1,1
2016_Floods,16f,2021,3,4266,1,1
2016_Floods,16f,2021,3,4269,1,1
2016_Floods,16f,2021,3,4272,1,1
2016_Floods,16f,2021,4,4266,1,1
2016_Floods,16f,2021,4,4269,1,1
2016_Floods,16f,2021,4,4272,1,1
2016_Floods,16f,2022,1,4266,1,1
2016_Floods,16f,2022,1,4269,1,1
2016_Floods,16f,2022,1,4272,1,1
2016_Floods,16f,2022,2,4266,1,1
2016_Floods,16f,2022,2,4269,1,1
2016_Floods,16f,2022,2,4272,1,1
2016_Floods,16f,2022,3,4266,1,1
2016_Floods,16f,2022,3,4269,1,1
2016_Floods,16f,2022,3,4272,1,1
2016_Floods,16f,2022,4,4266,1,1
2016_Floods,16f,2022,4,4269,1,1
2016_Floods,16f,2022,4,4272,1,1
2016_Floods,16f,2023,1,4266,1,1
2016_Floods,16f,2023,1,4269,1,1
