Quarter,County,Program Type,Allocated,Activity Count
Q2 2020,Goliad County,Infrastructure,0.0,5
Q2 2020,Gonzales,Infrastructure,0.0,3
Q2 2020,Gonzales County,Infrastructure,0.0,1
Q2 2020,Grimes,Infrastructure,0.0,2
Q2 2020,Grimes County,Infrastructure,0.0,2
Q2 2020,Jackson,Infrastructure,0.0,2
Q2 2020,Karnes,Infrastructure,0.0,4
Q2 2020,Karnes County,Infrastructure,0.0,1
Q2 2020,Lee,Infrastructure,0.0,2
Q2 2020,Lee County,Infrastructure,0.0,1
Q2 2020,Matagorda County,Infrastructure,0.0,5
Q2 2020,Milam,Infrastructure,0.0,5
Q2 2020,Milam County,Infrastructure,0.0,1
Q2 2020,Polk,Infrastructure,0.0,3
Q2 2020,Sabine,Infrastructure,0.0,1
Q2 2020,Tyler,Infrastructure,0.0,2
Q2 2020,Tyler County,Infrastructure,0.0,4
Q2 2020,Walker,Infrastructure,0.0,2
Q2 2020,Waller,Infrastructure,0.0,4
Q2 2020,Waller County,Infrastructure,0.0,1
Q2 2021,Statewide,Infrastructure,3907229900.08,437
Q2 2021,Statewide,Housing,57800000.0,26
Q2 2021,Aransas County,Infrastructure,33812910.0,3
Q2 2021,FortBend,Infrastructure,17881491.0,4
Q2 2021,SanJacinto,Infrastructure,13963288.0,4
Q2 2021,Montgomery,Infrastructure,12392489.0,3
Q2 2021,Liberty,Infrastructure,11124857.0,5
Q2 2021,Brazoria,Infrastructure,10916934.0,1
Q2 2021,Refugio County,Infrastructure,10294295.0,5
Q2 2021,Fayette,Infrastructure,9549388.75,4
Q2 2021,Jasper,Infrastructure,7806652.0,5
Q2 2021,Newton,Infrastructure,7745843.0,3
Q2 2021,FortBend County,Infrastructure,7630381.0,6
Q2 2021,Montgomery County,Infrastructure,7411888.5,8
Q2 2021,Hardin County,Infrastructure,5701204.59,5
Q2 2021,Nueces County,Infrastructure,4644430.59,2
Q2 2021,Galveston,Infrastructure,3399435.0,1
Q2 2021,Orange,Infrastructure,3362406.17,2
Q2 2021,Hardin,Infrastructure,2938238.56,2
Q2 2021,Galveston County,Infrastructure,2838296.0,2
Q2 2021,Chambers,Infrastructure,2701783.0,1
Q2 2021,Victoria,Infrastructure,2413521.0,3
Q2 2021,Wharton,Infrastructure,2173864.0,3
Q2 2021,Calhoun County,Infrastructure,2138266.5,2
Q2 2021,SanPatricio,Infrastructure,2037215.0,1
Q2 2021,Jefferson,Infrastructure,1885562.0,3
Q2 2021,Newton County,Infrastructure,1869100.0,4
Q2 2021,Waller,Infrastructure,1828698.0,4
Q2 2021,Matagorda County,Infrastructure,1373481.0,5
Q2 2021,Victoria County,Infrastructure,1324296.0,2
Q2 2021,Walker,Infrastructure,1102398.0,2
Q2 2021,Polk,Infrastructure,995241.0,3
Q2 2021,Jefferson County,Infrastructure,993328.8,6
Q2 2021,Tyler County,Infrastructure,757502.0,4
Q2 2021,Orange County,Infrastructure,680000.0,4
Q2 2021,Liberty County,Infrastructure,539711.0,1
Q2 2021,Wharton County,Infrastructure,412453.0,5
Q2 2021,Jasper County,Infrastructure,312375.0,1
Q2 2021,Fayette County,Infrastructure,293250.0,1
Q2 2021,Colorado,Infrastructure,227232.0,2
Q2 2021,Austin,Infrastructure,0.0,5
Q2 2021,Austin County,Infrastructure,0.0,1
Q2 2021,Bastrop,Infrastructure,0.0,3
Q2 2021,Bastrop County,Infrastructure,0.0,3
Q2 2021,Bee County,Infrastructure,0.0,2
Q2 2021,Caldwell,Infrastructure,0.0,3
Q2 2021,Goliad,Infrastructure,0.0,2
Q2 2021,Goliad County,Infrastructure,0.0,5
Q2 2021,Gonzales,Infrastructure,0.0,3
Q2 2021,Gonzales County,Infrastructure,0.0,1
Q2 2021,Grimes,Infrastructure,0.0,2
Q2 2021,Grimes County,Infrastructure,0.0,2
Q2 2021,Jackson,Infrastructure,0.0,2
Q2 2021,Karnes,Infrastructure,0.0,4
Q2 2021,Karnes County,Infrastructure,0.0,1
Q2 2021,Lavaca,Infrastructure,0.0,1
Q2 2021,Lee,Infrastructure,0.0,2
Q2 2021,Lee County,Infrastructure,0.0,1
Q2 2021,Milam,Infrastructure,0.0,5
Q2 2021,Milam County,Infrastructure,0.0,1
Q2 2021,Sabine,Infrastructure,0.0,1
Q2 2021,Tyler,Infrastructure,0.0,2
Q2 2021,Waller County,Infrastructure,0.0,1
Q2 2022,Statewide,Infrastructure,3962711388.89,342
Q2 2022,Statewide,Housing,57800000.0,16
Q2 2022,Aransas County,Infrastructure,33815495.0,3
Q2 2022,FortBend,Infrastructure,17881491.0,4
Q2 2022,SanJacinto,Infrastructure,13964183.0,4
Q2 2022,Montgomery,Infrastructure,12392489.0,3
Q2 2022,Liberty,Infrastructure,11125680.36,5
Q2 2022,Brazoria,Infrastructure,10917829.0,1
Q2 2022,Refugio County,Infrastructure,10297160.0,5
Q2 2022,Fayette,Infrastructure,9550829.31,4
Q2 2022,Jasper,Infrastructure,7806652.0,5
Q2 2022,Newton,Infrastructure,7746418.0,3
Q2 2022,FortBend County,Infrastructure,7630381.0,6
Q2 2022,Montgomery County,Infrastructure,7411888.5,8
Q2 2022,Hardin County,Infrastructure,5703589.59,5
Q2 2022,Nueces County,Infrastructure,4644430.59,2
Q2 2022,Galveston,Infrastructure,3401405.0,1
Q2 2022,Orange,Infrastructure,3364044.78,2
Q2 2022,Hardin,Infrastructure,2938238.56,2
Q2 2022,Galveston County,Infrastructure,2838296.0,2
Q2 2022,Chambers,Infrastructure,2703753.0,1
Q2 2022,Victoria,Infrastructure,2414369.58,3
Q2 2022,Wharton,Infrastructure,2173864.0,3
Q2 2022,Calhoun County,Infrastructure,2139161.5,2
Q2 2022,SanPatricio,Infrastructure,2037215.0,1
Q2 2022,Jefferson,Infrastructure,1885562.0,3
Q2 2022,Newton County,Infrastructure,1869100.0,4
Q2 2022,Waller,Infrastructure,1828698.0,4
Q2 2022,Matagorda County,Infrastructure,1373481.0,5
Q2 2022,Victoria County,Infrastructure,1324645.94,2
