panel,column,rows,non_null_rows,non_zero_rows,pct_non_null,pct_non_zero
panel_state_quarter_sem,admin_staff_count_confidence_mean,66,1,1,1.52,1.52
panel_state_quarter_sem,admin_payroll_usd_sum,66,38,38,57.58,57.58
panel_state_quarter_sem,admin_payroll_usd_n_obs,66,38,38,57.58,57.58
panel_state_quarter_sem,admin_payroll_usd_confidence_mean,66,38,38,57.58,57.58
panel_state_quarter_sem,affected_population_persons_sum,66,23,23,34.85,34.85
panel_state_quarter_sem,affected_population_persons_n_obs,66,23,23,34.85,34.85
panel_state_quarter_sem,affected_population_persons_confidence_mean,66,23,23,34.85,34.85
panel_state_quarter_sem,affected_population_households_sum,66,4,4,6.06,6.06
panel_state_quarter_sem,affected_population_households_n_obs,66,4,4,6.06,6.06
panel_state_quarter_sem,affected_population_households_confidence_mean,66,4,4,6.06,6.06
panel_state_quarter_sem,severity_deaths_count_sum,66,30,30,45.45,45.45
panel_state_quarter_sem,severity_deaths_count_n_obs,66,30,30,45.45,45.45
panel_state_quarter_sem,severity_deaths_count_confidence_mean,66,30,30,45.45,45.45
panel_state_quarter_sem,severity_economic_loss_usd_sum,66,0,0,0.0,0.0
panel_state_quarter_sem,severity_economic_loss_usd_n_obs,66,0,0,0.0,0.0
panel_state_quarter_sem,severity_economic_loss_usd_confidence_mean,66,0,0,0.0,0.0
panel_state_quarter_sem,severity_property_damage_usd_sum,66,0,0,0.0,0.0
panel_state_quarter_sem,severity_property_damage_usd_n_obs,66,0,0,0.0,0.0
panel_state_quarter_sem,severity_property_damage_usd_confidence_mean,66,0,0,0.0,0.0
panel_state_quarter_sem,severity_unmet_need_usd_sum,66,38,38,57.58,57.58
panel_state_quarter_sem,severity_unmet_need_usd_n_obs,66,38,38,57.58,57.58
panel_state_quarter_sem,severity_unmet_need_usd_confidence_mean,66,38,38,57.58,57.58
