category,disaster_code,year,quarter,city,county_fips3,county_name,unit_level,unit_id,n_documents,programs_total,programs_completed,programs_in_progress,programs_cancelled,program_completion_rate,program_duration_quarters_mean,program_duration_quarters_n_obs,sum_budget_usd,sum_obligated_usd,sum_drawdown_usd,sum_expended_usd,admin_activity_count,admin_activity_budget_usd,admin_activity_obligated_usd,admin_activity_drawdown_usd,admin_activity_expended_usd,outcome_persons_total_actual,outcome_persons_total_expected,outcome_households_total_actual,outcome_households_total_expected,severity_rainfall_inches_max,severity_wind_speed_mph_max,sem_signal_count,sem_signal_confidence_mean,admin_staff_count_sum,admin_staff_count_n_obs,admin_payroll_usd_sum,admin_payroll_usd_n_obs,affected_population_persons_sum,affected_population_persons_n_obs,affected_population_households_sum,affected_population_households_n_obs,severity_deaths_count_sum,severity_deaths_count_n_obs,severity_unmet_need_usd_sum,severity_unmet_need_usd_n_obs,ratio_disbursed_to_obligated,ratio_expended_to_disbursed,duration_of_completion,timeliness,progress_rate,signal_density,has_admin_staff_signal,has_admin_payroll_signal,has_deaths_signal,has_unmet_need_signal
Hurricane_Ike,ike,2012,1,Rsquos Addition,167.0,Galveston County,city,Hurricane_Ike|ike|Rsquos Addition|167.0,,1,0.0,0.0,0.0,0.0,,0,629407.0,0.0,629407.0,629407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Rsquos Ditch. In Addition,291.0,Liberty County,city,Hurricane_Ike|ike|Rsquos Ditch. In Addition|291.0,,1,0.0,1.0,0.0,0.0,,0,346768.0,151.3,346043.0,346043.0,,,,,,,,,,,,,,,,,,,,,,,,,,2287.13152676801,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Rsquos Down Payment,201.0,Harris County,city,Hurricane_Ike|ike|Rsquos Down Payment|201.0,,1,0.0,1.0,0.0,0.0,,0,5281500.0,0.0,5281500.0,5236500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9914796932689577,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,S Control,201.0,Harris County,city,Hurricane_Ike|ike|S Control|201.0,,1,0.0,1.0,0.0,0.0,,0,558131.78,191.16,554001.0,554001.0,,,,,,,,,,,,,,,,,,,,,,,,,,2898.1010671688637,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,S. Lake Houston Pkwy In Houston,201.0,Harris County,city,Hurricane_Ike|ike|S. Lake Houston Pkwy In Houston|201.0,,1,0.0,0.0,0.0,0.0,,0,462273.0,0.0,462273.0,462273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Safety End Treatments,201.0,Harris County,city,Hurricane_Ike|ike|Safety End Treatments|201.0,,1,0.0,1.0,0.0,0.0,,0,198308.0,0.0,197708.0,98605.36,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49874238776377283,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Scale To Address Flooding,167.0,Galveston County,city,Hurricane_Ike|ike|Scale To Address Flooding|167.0,,1,0.0,1.0,0.0,0.0,,0,2072066.09,0.0,1662713.54,1662713.54,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Scenic Green Dr. In Houston,201.0,Harris County,city,Hurricane_Ike|ike|Scenic Green Dr. In Houston|201.0,,1,0.0,0.0,0.0,0.0,,0,511522.0,0.0,511522.0,511522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Sheldon Road,201.0,Harris County,city,Hurricane_Ike|ike|Sheldon Road|201.0,,1,0.0,1.0,0.0,0.0,,0,152275.75,2169.85,152275.75,13292.11,,,,,,,,,,,,,,,,,,,,,,,,,,70.17800769638454,0.08728973589031741,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Simmons Drive,201.0,Harris County,city,Hurricane_Ike|ike|Simmons Drive|201.0,,1,0.0,1.0,0.0,0.0,,0,0.0,10922.96,154100.0,147680.84,,,,,,,,,,,,,,,,,,,,,,,,,,14.10789749298725,0.9583441920830629,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Smith County,201.0,Harris County,city,Hurricane_Ike|ike|Smith County|201.0,,1,0.0,1.0,0.0,0.0,,0,221455.0,1328.54,221455.0,179255.5,,,,,,,,,,,,,,,,,,,,,,,,,,166.69050235596973,0.8094443566413041,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Smith Point Community - Chambers County,71.0,Chambers County,city,Hurricane_Ike|ike|Smith Point Community - Chambers County|71.0,,1,0.0,1.0,0.0,0.0,,0,2325316.0,38228.69,2316121.0,310717.72,,,,,,,,,,,,,,,,,,,,,,,,,,60.58593689713145,0.13415435549351695,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Somerville Wastewater Treatment Plant,51.0,Burleson County,city,Hurricane_Ike|ike|Somerville Wastewater Treatment Plant|51.0,,1,0.0,1.0,0.0,0.0,,0,195201.0,0.0,195201.0,117746.93,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6032086413491734,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,South Houston,201.0,Harris County,city,Hurricane_Ike|ike|South Houston|201.0,,1,0.0,1.0,0.0,0.0,,0,663076.0,0.0,705911.0,529235.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7497200071963745,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,South Womack Street,201.0,Harris County,city,Hurricane_Ike|ike|South Womack Street|201.0,,1,0.0,0.0,0.0,0.0,,0,5800.0,0.0,4600.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13043478260869565,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Span Concrete Bridge,409.0,San Patricio County,city,Hurricane_Ike|ike|Span Concrete Bridge|409.0,,1,0.0,0.0,0.0,0.0,,0,1000000.0,0.0,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
