Grantee,Ratio_disbursed_to_obligated,Ratio_expended_to_disbursed,Timeliness,Duration_of_completion,Ratio_obligated_funds_fully_expended,Quarter_by_quarter_variance_expended,Duration_log,Spending_CV,Spending_Gini,N_Quarters,Progress_Rate,Spending_Acceleration,Time_to_50pct,Startup_Lag,Completion_Velocity,Government_Type
"Jefferson County, AL",0.961330774817227,0.9903782296310202,0.007933013148166896,126.125,0.9518316371791895,0.18675790990654167,4.836997912967909,1.6797974620257015,0.6822635740076313,40.5,0.02350282026522057,0.0038409704178698906,0.5527439024390244,1.0,0.024073755541605922,local
"Jefferson Parish, LA",0.8209385650033427,0.24673902484706006,0.007742855687433141,129.1513157894737,0.20255758098826962,0.22861095082214175,4.860984707561757,2.3472547424061867,0.8403579430993887,29.0,0.006984744172009298,-0.0591606610336321,1.0,1.0,0.00723419932100963,local
"Joplin, MO",0.8558861115491105,1.0866633542512782,0.006530331672108609,153.13157894736844,0.93006007283304,0.28657649210534186,5.031297544930284,1.1096592389567497,0.5856542540675463,50.0,0.0186012014566608,-0.03310414358264416,0.38,0.0,0.01897917252377135,local
"Kauai County, HI",0.23836483217088053,0.958061538589554,0.01958510501224069,51.059210526315795,0.2283681778552746,0.2200221207856209,3.9329859500078626,1.0588077075500535,0.4416347032196242,17.0,0.013433422226780858,-0.015533967907073266,1.0,3.0,0.014273011115954663,local
Kentucky,0.09810102765129905,0.8040770190020246,0.1167435277631135,10.5,0.08296821316430977,0.45,2.249575538925897,1.8251407699364424,0.65,3.5,0.03455744982737079,0.25,1.0,1.5,0.005772213962320087,state
"Lake Charles, LA",0.10617973426014025,0.379678585756902,0.11168258633357825,8.953947368421053,0.04031417133993372,0.4134906178060123,2.19209448180519,0.9268136987829937,0.40669482026974746,3.0,0.01343805711331124,-0.5849366543930675,1.0,0.0,0.012296673500563618,local
"Lee County, FL",0.08039590952487902,0.8356504127142876,0.05555555555555555,18.0,0.06718287497500568,0.35250927913229857,2.8903717578961645,0.6220748623082522,0.29403727512780725,5.0,0.013436574995001135,-0.14123766197531662,1.0,0.0,0.013348543873211419,local
"Lexington County, SC",0.6282407970402165,0.9768398782691523,0.014995893598821974,73.57565789473685,0.617936231118344,0.2743176037088145,4.249146555670821,1.7501586721720392,0.7426302483030048,24.5,0.025090158205907157,-0.04188248723462069,0.640625,2.0,0.026272398856643446,local
Louisiana,0.7691324424801727,0.9852344370160109,0.014335567895931961,86.22838345864662,0.7677974662163197,0.260887354573169,4.367939522365366,1.1182285005352484,0.52874650536333,39.42857142857143,0.021923971087678986,0.010766243013231298,0.5170181405895692,0.5714285714285714,0.022900936442828732,state
"Luzerne County, PA",0.9927104003315119,0.999973961508183,0.0207005805720759,61.55263157894737,0.9926847414600575,0.3382642503832411,3.998743069500864,1.245032012528436,0.6274222779755259,32.0,0.04556798054348687,0.000495149472334146,0.4757142857142857,0.0,0.04809697787702606,local
Maryland,0.9663700548184356,1.0000000000000004,0.008998875140607425,111.125,0.9663700548184361,0.2658918919794328,4.7106556938340685,1.7483507431974818,0.7394615184288076,36.0,0.026843612633845448,-0.030617104343141348,0.4444444444444444,0.0,0.02700489164006386,state
Michigan,0.02332289798161721,0.0,0.06663743971942131,15.006578947368421,0.0,0.0,2.7084887014381116,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,state
